naId,type,score,contributor,scopeAndContentNote,records_type,title,parent_series_title,start_date,end_date,creator,thumbnail,record_group,archive,tags
538129,description,0.043289896,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. View of barracks at this War Relocation Authority center looking southwest across the wide fire-break which is used as a recreation field.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538129/opa-renditions/thumbnails/21-1534M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538130,description,0.043289896,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. View of barracks at this War Relocation Authority center looking southwest across the wide fire-break which is used as a recreation field.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538130/opa-renditions/thumbnails/21-1535M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538132,description,0.043289896,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. View of barracks at this War Relocation Authority center looking southwest across the wide fire-break which is used as a recreation field.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538132/opa-renditions/thumbnails/21-1537M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538159,description,0.043289896,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Barrack homes at this War Relocaton Authority center. The family in the foreground have commenced a flower garden to make their surroundings more home-like.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538159/opa-renditions/thumbnails/21-1561M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538122,description,0.043289896,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. General view of this War Relocation Authority center located in Owens Valley looking east across the wide fire-break which separates blocks of barracks.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538122/opa-renditions/thumbnails/21-1527M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536804,description,0.043289896,"Albers, Clem","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. Construction begins on a War Relocation Authority center for evacuees of Japanese ancestry near Tule Lake in Modoc County, California, south of the Oregon border.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536804/opa-renditions/thumbnails/20-2254M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536809,description,0.043289896,"Albers, Clem","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. Construction begins on a War Relocation Authority Center for evacuees of Japanese ancestry near Tule Lake in Modoc County, California, just south of the Oregon border.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536809/opa-renditions/thumbnails/20-2259M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536811,description,0.043289896,"Albers, Clem","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. Construction begins on a War Relocation Authority Center for evacuees of Japanese ancestry near Tule Lake in Modoc County, California, just south of the Oregon border.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536811/opa-renditions/thumbnails/20-2261M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536305,description,0.043289896,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Evacuees of Japanese ancestry registering at this War Relocation Authority center. The sign explains features of War Relocation Authority work corps.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536305/opa-renditions/thumbnails/20-1760M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536220,description,0.043289896,"Albers, Clem","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. Construction begins on War Relocation Authority center for evacuees of Japanese ancestry near Tule Lake in Modoc County, California, south of the Oregon border.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536220/opa-renditions/thumbnails/20-1675M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536199,description,0.043289896,"Albers, Clem","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. Construction of this War Relocation Authority center has commenced. Approximately 10,000 evacuees of Japanese ancestry will be housed here for the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536199/opa-renditions/thumbnails/20-1654M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536202,description,0.043289896,"Albers, Clem","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. Construction begins on War Relocation Authority center for evacuees of Japanese ancestry near Tule Lake in Modoc County, California, south of the Oregon border.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536202/opa-renditions/thumbnails/20-1657M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538173,description,0.043083996,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Messhall #16 at this War Relocation Authority center for evacuees of Japanese ancestry. An evacuee of 290 persons are fed three meals a day in each messhall, and all work is done by the evacuees themselves.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538173/opa-renditions/thumbnails/21-1575M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538178,description,0.043083996,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. The main Library at this War Relocation Authority center. The Librarian is a graduate of the University of California Library School and employs modern library techinques. All books have been donated.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538178/opa-renditions/thumbnails/21-1580M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536846,description,0.043083996,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Pruning trees at this War Relocation Authority center, where 10,000 evacuees of Japanese ancestry are spending the duration, while a M.P. [Military Police] is standing guard in the foreground.",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536846/opa-renditions/thumbnails/20-2296M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536714,description,0.043083996,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Robert Cozzens, War Relocation Authority Assistant Field Director is here explaining to a group of evacuees of Japanese descent, the purpose of registration. All centerites between the ages of 18 and 38 registered at this time.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536714/opa-renditions/thumbnails/20-2165M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536225,description,0.043083996,"Albers, Clem","The full caption for this photograph reads: Manzanar, California. Before disembarking from bus at War Relocation Authority center, evacuees of Japanese descent are again examined by fellow evacuee medical staff. This baby (center) was found to have measles. The nurse is accompaning mother and child to Manzanar hospital.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536225/opa-renditions/thumbnails/20-1680M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538160,description,0.04305826,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Evacuees at this War Relocation Authority center relaxing in the shade of their barrack apartment.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538160/opa-renditions/thumbnails/21-1562M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538076,description,0.043032523,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Evacuee boy at this War Relocation Authority center reading the Funnies.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538076/opa-renditions/thumbnails/21-1481M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","boy, comic book, reading"
538123,description,0.042929575,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. This War Relocation Authority center which houses 10,00 evacuees of Japanese ancestry is located in Owens Valley between the High Sierras and Mount Whitney, the highest peak in the United States. The space in the forground is a wide fire-break between blocks of barracks which aslo serves as a playfield.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538123/opa-renditions/thumbnails/21-1528M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538138,description,0.04290384,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. The new hospital at this War Relocation Authority center is almost ready for occupancy. It will be fully equipped to care for all the needs of 10,000 persons. There are accommodations for 250 beds. It is fully insulated, has double floors, inside heating, and with all new equipment. This hospital will be staffed by evacuee doctors and nurses.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538138/opa-renditions/thumbnails/21-1543M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538139,description,0.04290384,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. The new hospital at this War Relocation Authority center is almost ready for occupancy. It will be fully equipped to care for all the needs of 10,000 persons. There are accommodations for 250 beds. It is fully insulated, has double floors, inside heating, and with all new equipment. This hospital will be staffed by evacuee doctors and nurses.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538139/opa-renditions/thumbnails/21-1544M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538041,description,0.04290384,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Looking south from this War Relocation Authority center. The project farm lies in two main sections. This is farm Number 1 nearest to the Center. Irrigation water is drawn from George's Creek and from Bear Creek. Up to this time approximately 125 acres of land are under cultivation and in various truck crops.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538041/opa-renditions/thumbnails/21-1447M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538293,description,0.037885092,"Stewart, Francis, War Relocation Authority photographer",NA,Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538293/opa-renditions/thumbnails/21-1693M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)",water tower
536852,description,0.03750525,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Mealtime, cafeteria style, at this War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536852/opa-renditions/thumbnails/20-2302M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536869,description,0.03750525,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Construction begins at Manzanar, now a War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536869/opa-renditions/thumbnails/20-2319M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536873,description,0.03750525,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Construction begins at Manzanar, now a War Relocation Authority centerfor evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536873/opa-renditions/thumbnails/20-2323M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536876,description,0.03750525,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. An afternoon stroll at this War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536876/opa-renditions/thumbnails/20-2326M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536880,description,0.03750525,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Registration for work at this War Relocation Authority center, under the Work Corps plan for evacuees.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536880/opa-renditions/thumbnails/20-2330M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536887,description,0.03750525,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Construction begins at Manzanar, now a War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536887/opa-renditions/thumbnails/20-2337M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536258,description,0.03750525,"Albers, Clem","The full caption for this photograph reads: Poston, Arizona. Constructing quarters for evacuees of Japanese ancestry at War Relocation Authority center on Colorado River Indian Reservation.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536258/opa-renditions/thumbnails/20-1713M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536840,description,0.03745614,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Newcomers move into Manzanar, a War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536840/opa-renditions/thumbnails/20-2290M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538490,description,0.03745614,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Signing for bedding at Manzanar, a War Relocation Authority center where evacuees of Japanese ancestry will spend the duration. These evacuees came from Elk Grove, California.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538490/opa-renditions/thumbnails/21-1890M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
537421,description,0.03745614,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Playing Japanese checkers at this War Relocation Authority center for evacuees of Japanese descent where they are spending the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/537421/opa-renditions/thumbnails/20-2869M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536866,description,0.03745614,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. A bewhiskered evacuee at this War Relocation Authority center which houses 10,000 evacuees of Japanese ancestry for the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536866/opa-renditions/thumbnails/20-2316M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536870,description,0.03745614,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Evacuees clearing brush to enlarge this War Relocation Authority center which will house 10,000 evacuees of Japanese ancestry for the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536870/opa-renditions/thumbnails/20-2320M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536881,description,0.03745614,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Entrance, during construction, of this War Relocation Authority center for evacuees of Japanese ancestry in Owens Valley, flanked by High Sierras and Mount Whitney, United States' loftiest peak.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536881/opa-renditions/thumbnails/20-2331M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536842,description,0.03745614,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Clearing the ground at this War Relocation Authority center where 10,000 evacuees of Japanese ancestry are spending the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536842/opa-renditions/thumbnails/20-2292M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536849,description,0.03745614,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Vaccination is required of evacuees at War Relocation Authority centers to guard against typhoid and other diseases.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536849/opa-renditions/thumbnails/20-2299M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536210,description,0.03745614,"Albers, Clem","The full caption for this photograph reads: Tule Lake Relocation Center, Newell, California. Construction begins on this War Relocation Authority center for evacuees of Japanese ancestry near Tule Lake in Modoc County, California, south of the Oregon border.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536210/opa-renditions/thumbnails/20-1665M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536854,description,0.03742005,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Newcomers move into Manzanar, a War Relocation Authoriy center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536854/opa-renditions/thumbnails/20-2304M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
